year,poleTime,gap,finishCat
1994,83.844,0.13400000000001455,other
1995,84.462,0.563999999999993,other
2003,80.963,0.05100000000000193,winner
2004,80.089,0.5310000000000059,winner
2005,80.878,0.17600000000000193,other
2006,81.48400000000001,0.001999999999995339,second
2007,81.997,0.03699999999999193,winner
2008,97.555,0.0759999999999934,winner
2009,84.066,0.19499999999999318,other
2010,81.962,0.12199999999999989,winner
2011,82.275,0.44999999999998863,winner
2012,84.01,0.12299999999999045,winner
2013,83.755,0.21300000000000807,winner
2014,84.10900000000001,0.2739999999999867,winner
2015,83.39699999999999,0.23400000000000887,winner
2016,81.135,0.47799999999999443,second
2017,95.554,1.1479999999999961,winner
